id,title,subject_codes,units,description
111720,Exercise Physiology,HUMBIO 135,4,"Prerequisite: HUMBIO 4A or equivalent or permission of instructor. Explore the amazing capacity of your body to move and adapt within your everyday world. You will learn: how your body systems respond to the stress of acute exercise and adapt to chronic exercise training, how your cardiovascular system adapts to optimize oxygen delivery and utilization, how your muscles generate force and hypertrophy in response to training, and how your metabolic/biochemical pathways are regulated to support the increased energy demand of exercise. We will discuss theories on the causes of fatigue and muscle soreness, and on what limits human performance. Applied topics such as the effects of aging, gender, and environmental conditions (high altitude, heat, cold, microgravity) on your body will be emphasized in the second half of the course. Portions of the class will be taught through videos that use online lectures and engaging stories to illustrate physiology concepts."
111850,Introduction to Laboratory Research in Cell and Molecular Biology,BIO 45,4,"Use modern molecular approaches to characterize a particular tumor-associated mutation in the human p53 tumor suppressor gene via expression and analysis in a yeast model system. Learn about the role of p53 as Guardian of the Genome and consider novel p53-directed tumor therapies through lectures and by reading and discussing journal articles. Use molecular visualization programs to examine the structure of the normal p53 protein and localize the alteration induced by the mutation you are investigating. Assay the ability of mutant p53 to activate expression of multiple reporter genes. Through facilitated discussions with teams of other students studying the same p53 mutant, consider a series of molecular explanations for your p53 mutant&#039;s functional defects. Conduct lab experiments to test these hypotheses, analyze data, collaboratively interpret these data, and present your findings through a team oral presentation, as well as a scientific poster. Attendance at both the lecture and lab sections is mandatory, and students may only attend the lecture and lab sections in which they are enrolled. Please contact Dr. Shyamala Malladi (smalladi@stanford.edu) if you have any questions about the class. Please note that enrollment is handled by Axess, so enrollment in one pair of BIO45 lecture/lab sections will not give a student any priority for subsequently enrolling in a different pair of lecture/lab sections. Although there are no pre-requisites to enroll in this class, it will be helpful if you have already taken or are concurrently enrolled in introductory courses in cell and molecular biology (BIO 82 and 83 or HUMBIO 2A and 3A) and general chemistry (CHEM 31A and 31B or CHEM 31E)."
111851,Introduction to Research in Ecology and Evolutionary Biology,BIO 46,4,"The goal of this course is to develop an understanding of how to conduct biological research, using topics in Ecology as practical examples. This includes the complete scientific process: assessing background literature, generating testable hypotheses, learning techniques for data collection, analyzing data using appropriate statistical methods and writing and sharing results. Students, working in teams, develop novel research hypotheses and execute the necessary experiments and measurements to test these hypotheses. In addition, students will learn how to manipulate, visualize, and analyze data in the statistical programming language R. The capstone of the course is a research paper in the style of a peer-reviewed journal article, as well as a group presentation designed for a general audience that communicates research findings. The Tuesday lecture session will generally meet for only about 60-70 minutes. IMPORTANT NOTE: Students who require BIO 46 to satisfy the WIM requirement for the Biology major MUST take this course for a letter grade. Please contact Amanda Wu (ytwu@stanford.edu) for logistical and enrollment questions."
111865,Ecology and Natural History of Jasper Ridge Biological Preserve,"BIO 105A, EARTHSYS 105A",4,"The Ecology and Natural History of the Jasper Ridge Biological Preserve is an upper-division course that aims to help students learn ecology and natural history using a &#039;living laboratory,&#039; the Jasper Ridge Biological Preserve. The course&#039;s central goal is that, as a community of learning, we examine &#039;via introductory discussions, followed by hands-on experiences in the field&#039; the scientific basis of ecological research, archaeology, edaphology, geology, species interactions, land management, and multidisciplinary environmental education. The first 10 sessions that compose the academic program are led by the instructors, faculty (world-experts on the themes of each session), and JRBP staff. In addition, this 20-week class (winter and spring quarters) trains students to become JRBP Docents that will join the Jasper Ridge education affiliates community. Completion of both Winter (BIO 105A) and Spring (BIO 105B) sequence training program is required to join the Ecology and Natural History of Jasper Ridge Biological Preserve course."
111866,Ecology and Natural History of Jasper Ridge Biological Preserve,"BIO 105B, EARTHSYS 105B",4,"The Ecology and Natural History of the Jasper Ridge Biological Preserve is an upper-division course that aims to help students learn ecology and natural history using a &#039;living laboratory,&#039; the Jasper Ridge Biological Preserve. The course&#039;s central goal is that, as a community of learning, we examine &#039;via introductory discussions, followed by hands-on experiences in the field&#039; the scientific basis of ecological research, archaeology, edaphology, geology, species interactions, land management, and multidisciplinary environmental education. The first 10 sessions that compose the academic program are led by the instructors, faculty (world-experts on the themes of each session), and JRBP staff. In addition, this 20-week class (winter and spring quarters) trains students to become JRBP Docents that will join the Jasper Ridge education affiliates community. Completion of both Winter (BIO 105A) and Spring (BIO 105B) sequence training program is required to join the Ecology and Natural History of Jasper Ridge Biological Preserve course."
111885,Human Physiology,"BIO 112, HUMBIO 133",4,"Prerequisites: HumBio 3A or 4A or Bio 83 or 84 or 86 or Human Biology Major/Min or Biology Major/Minor. Human physiology will be examined by organ systems: cardiovascular, respiratory, renal, gastrointestinal and endocrine. Molecular and cell biology and signaling principles that underlie organ development, pathophysiology and opportunities for regenerative medicine are discussed, as well as integrative control mechanisms and fetal development."
111920,Animal Behavior,BIO 145,3,"Animal behavior with an emphasis on social and collective behavior. How do animals interact with each other and the rest of the world around them? This is a project-based course in a seminar format, including class discussion of journal articles, and independent research projects based on observing the behavior of animals on campus.  Suggested prerequisites: Biology or Human Biology core or BIO 81 and 85 or consent of instructor. Recommended: some background in statistics."
111926,Mechanisms of Neuron Death,BIO 151,3,"For undergraduates with backgrounds in neuroscience. Cell and molecular biology of neuron death during neurological disease. Topics: the amyloid diseases (Alzheimer&#039;s), prion diseases (kuru and Creutzfeldt-Jakob), oxygen radical diseases (Parkinson&#039;s and ALS), triplet repeat diseases (Huntington&#039;s), and AIDS-related dementia. Assessment based on in-class participation and short weekly papers. Enrollment is limited to 15; an application is required. Enrollment by permission of professor, apply at https://forms.gle/PHTM7ZNL8GaBsmVa8"
111929,"Advanced Neurobiology: Food, Sex, and Gaming",BIO 154,4,"Neurobiology of food, sex, and gaming in health and disease across species. Topics: sensory and motor systems, innate behaviors, addiction, learning and memory, AI, aging, brain disorders."
112020,Cellular and Molecular Immunology: An Introductory Course,BIO 230,4,"Mechanisms of immune responses in health and disease. Innate and adaptive immunity; development of the immune system; molecular biology, structure, and function of antibodies and T-cell receptors; cellular basis and regulation of immune responses; infectious diseases and vaccines; allergy, inflammation, and autoimmunity. COVID-19 will be featured as a major example. Lectures and discussion in class and in sections. For upper class undergraduate and graduate students who have not had an introductory immunology course. Prerequisites for undergraduates: Biology Core, Human Biology Core, or BIO 83 and 86, or consent of instructor. For graduate students: College-level molecular biology, biochemistry, and cell biology, or consent of instructor."
112034,The Neurobiology of Sleep,"BIO 149, HUMBIO 161",4,"Prerequisite for HUMBIO 161: Must be a junior, senior, or graduate student to enroll. The neurochemistry and neurophysiology of changes in brain activity and conscious awareness are associated with changes in the sleep/wake state. Behavioral and neurobiological phenomena include sleep regulation, sleep homeostasis, circadian rhythms, sleep disorders, sleep function, and the molecular biology of sleep. Preference to seniors and graduate students."
112064,Theoretical Population Genetics,BIO 183,3,"Models in population genetics and evolution. Selection, random drift, gene linkage, migration, and inbreeding, and their influence on the evolution of gene frequencies and chromosome structure. Models are related to DNA sequence evolution. Prerequisites: calculus and linear algebra, or consent of instructor."
112246,Chemical Foundations and 21st Century Problems,CHEM 31E,5,"This course offers students a comprehensive understanding of the fundamental principles of chemistry and an expansive view of the central role of chemical science on problems of profound societal import - from energy, sustainability, agriculture, health and medicine, to many others. Students will gain an appreciation for the creativity of chemistry as a discipline and how chemical insight drives technological innovation. Course content will largely cover molecular structure and bonding, thermodynamics, reaction kinetics, electrochemistry, and spectroscopy. A two-hour weekly lab will reinforce lecture concepts through experiential learning.  This course was formerly CHEM 31M."
112270,Organic Chemistry Laboratory,CHEM 124,3,"This is a laboratory course that serves as a stepping stone toward independent research in organic chemistry. Through several 1-2 step syntheses, this course trains students on basic organic laboratory techniques on purification of products, including extraction, distillation, recrystallization, thin layer chromatography, and column chromatography, as well as characterization of product structures using IR, GC-MS, and NMR spectroscopy. This course reviews MS, IR, and 1H and 13C NMR spectroscopy knowledge from Chem 33 and 121 with an emphasis on the practical interpretation of spectra, so that students can become independent in using these techniques to identify the purity and structures of organic compounds.Prerequisite: Chem 121. Corequisite: Chem 123."
112273,Organic Polyfunctional Compounds,CHEM 123,3,"From molecular medicine to molecular anthropology and all sciences in between, chemistry and more generally the molecular sciences are driven by one&iquest;s understanding of structure and how structure relates to properties, reactivities (mechanisms) and one&iquest;s ability to design and make molecules of functional value (e.g., materials, diagnostics, imaging agents and medicinal leads). This course will focus on reaction science including reactive intermediates (anions, cations, radicals, carbenes, etc) and pericyclic reactions involving no intermediates and how reaction science figures in the innovative design, synthesis and evaluation of molecules of scientific and societal value. Guest lectures and student presentations will also be included."
112278,Instrumental Analysis Principles and Practice,CHEM 131,5,"The core objectives of the course will focus upon introducing and providing hands-on practice with analytical separation, spectroscopic identification, and calibrated quantification with strong technical communication (for the Writing-in-the-Major requirement) emphasized throughout the course. Lectures will focus on theory, and laboratory activities will provide hands-on practice with the GC, LC, XPS, ICP, MS, and UV/Vis instruments. Data analysis will be emphasized throughout the course with Python being the primary tool for plotting and computations. Statistical measurements will be introduced to gauge the quality and validity of data. Lectures will be three times a week with a required four-hour laboratory section. The course should be completed prior to CHEM courses 174,176, or 184. Prerequisite: CHEM 33 or CHEM 100; and CS 106A."
112280,Synthesis Laboratory,CHEM 126,3,"This is a laboratory course that will provide a true experience of what it is like to perform research in synthetic organic chemistry. Emphasis will be on proper reaction setup, reaction monitoring, and complete characterization of final products using chromatographic and spectroscopic methods. Students will be utilizing modern electronic notebooks to prepare for and document their experiments. Concludes with an individual synthesis project. Prerequisites: Chem 124."
112284,Inorganic Chemistry I,CHEM 151,4,"Bonding, stereochemical, and symmetry properties of discrete inorganic molecules are covered along with their mechanisms of ligand and electron exchange. Density function calculations are extensively used in these analyses in computer and problem set exercises. Prerequisites: CHEM 33"
112285,Inorganic Chemistry II,CHEM 153,3,"Learn how basic concepts in inorganic chemistry can be applied to materials of all dimensionalities. Specific topics will include: symmetry (group theory), bonding models (crystal field theory, valence bond theory, molecular orbital theory, and the Bloch theorem) and electronic structure, and properties/reactivity of molecules and extended solids. Prerequisites: CHEM 151 and either CHEM 173 or CHEM 171 for students who took CHEM 171 in Spring 2021 or later."
112286,Foundations of Physical Chemistry,CHEM 171,4,"Quantum and statistical thermodynamics: obtaining quantum mechanical energy levels and connecting them to thermodynamic properties using statistical mechanics. Emphasis will be on quantum mechanics of ideal systems (particle in a box, particle on a ring, harmonic oscillator, rigid rotor, and hydrogen atom) and their connection to and uses in thermodynamics (laws of thermodynamics, properties of gases and thermal motion, and chemical equilibria). Homeworks and sections will employ the Python programming language for hands-on experience with simulating chemical systems. Prerequisites: CHEM 31B or CHEM 31M; PHYS 41; CS106A; and MATH 51,  MATH 61CM, MATH 61DM or CME 100."
112288,Physical Chemistry II,CHEM 173,3,"The principles of quantum mechanics. General formulation, mathematical methods, and applications of quantum theory. The topics include: Schrodinger equation, multidimensional systems, quantum mechanical tunneling, Dirac notation, postulates of quantum mechanics, harmonic oscillator, vibrational modes in molecules and solids, approximate methods including perturbation theory and the variational method. Introduction to molecular structure methods."
112289,Physical chemistry laboratory I,CHEM 174,3,"Introduction to modern electrochemical measurement in a hands-on, laboratory setting. Students will assemble simple electrochemical cells and build simple circuits to digitize the data they collect. Students will work with reference, working, and counter electrodes with macro, micro and ultramicro geometries, salt bridges, ion-selective membranes, electrometers, and potentiostats. Prerequisites: CHEM 171 or equivalent."
112290,Physical Chemistry III,CHEM 175,3,"Molecular theory of kinetics and statistical mechanics: transport and reactions in gases and liquids, ensembles and the Boltzmann distribution law, partition functions, molecular simulation, structure and dynamics of liquids. Diffusion and activation limited reactions, potential energy surfaces, collision theory and transition-state theory. Prerequisites: either CHEM 173 or CHEM 171."
112291,Spectroscopy Laboratory,CHEM 176,3,"Use of spectroscopic instrumentation to obtain familiarity with important types of spectrometers and spectroscopic methods and to apply them to study molecular properties and time dependent processes. Methods include electronic ultraviolet/ visible absorption, fast fluorescence with time correlated single photon counting, Raman and fluorescence microscopy, Fourier transform infrared absorption, and nuclear magnetic resonance. Prerequisite: CHEM 131; CHEM 173 or CHEM 171 for students who took CHEM 171 in Spring 2021 or later."
112298,Advanced Organic Chemistry I,CHEM 221,3,"Advanced synthetic organic chemistry with an emphasis on structure, reactivity, stereocontrol, and named reactions. This course draws from underlying physical organic principles in order to teach students how to analyze complex organic reactions, predict functional group reactivity, propose reasonable reaction mechanisms, and begin to construct multistep syntheses of organic molecules. Topics include: pericyclic reactions, C&iquest;O, C&iquest;N, C&iquest;C, and C=C bond formation, transition metal-catalyzed cross-coupling, radical chemistry, and photochemistry. A solid foundation in organic chemistry is expected."
112300,Advanced Organic Chemistry II,CHEM 223,3,"Physical Organic Chemistry. This course is focused on understanding the important physical principles in organic chemistry, including bonding and structural analysis; molecular interactions; thermodynamics; kinetics; methods to investigate reactive intermediates, reactivity, and elucidate reaction mechanisms. Prerequisite: Chem 123 (formerly 131)."
112302,Synthesis and Analysis at the Chemistry-Biology Interface,CHEM 281,3,"Focus on the combined use of organic chemistry and molecular biology to make, manipulate and measure biomacromolecules, with special focus on DNA and RNA. Synthetic and enzymatic methods for design and construction of oligonucleotides and nucleic acids; methods for bioconjugation and labeling; fluorescence tools; intracellular delivery strategies; selection and evolution methods; CRISPR mechanisms. Prerequisite: One year of undergraduate organic chemistry. Completion of a course in molecular biology is strongly recommended."
112310,Applications of NMR Spectroscopy,CHEM 232,3,"(Formerly 235) The uses of NMR spectroscopy in chemical and biochemical sciences, emphasizing data acquisition and interpretation for liquid samples and including selection, setup, and processing of standard and advanced experiments."
112312,Advanced Inorganic Chemistry,CHEM 253,3,"Learn how basic concepts in inorganic chemistry can be applied to materials of all dimensionalities. Specific topics will include: symmetry (group theory), bonding models (crystal field theory, valence bond theory, molecular orbital theory, and the Bloch theorem) and electronic structure, and properties/reactivity of molecules and extended solids. Prerequisites: CHEM 151 and either CHEM 173 or CHEM 171 for students who took CHEM 171 in Spring 2021 or later."
112313,Advanced Inorganic Chemistry,CHEM 251,3,"(Formerly Chem 253) Electronic structure and physical properties of transition metal complexes. Ligand field and molecular orbital theories, magnetism and magnetic susceptibility, electron paramagnetic resonance including hyperfine interactions and zero field splitting and electronic absorption spectroscopy including vibrational interactions. Prerequisite: advanced undergrad-level inorganic course (equivalent to CHEM 153)."
112314,Advanced Inorganic Chemistry,CHEM 255,3,Chemical reactions of organotransition metal complexes and their role in homogeneous catalysis. Analogous patterns among reactions of transition metal complexes in lower oxidation states. Physical methods of structure determination. Prerequisite: one year of physical chemistry.
112318,Advanced Physical Chemistry,CHEM 271,3,"The principles of quantum mechanics. General formulation, mathematical methods, and applications of quantum theory. The topics include: Schrodinger equation, multidimensional systems, quantum mechanical tunneling, Dirac notation, postulates of quantum mechanics, harmonic oscillator, vibrational modes in molecules and solids, approximate methods including perturbation theory and the variational method. Introduction to molecular structure methods."
112319,Quantum mechanics with spectroscopy examples,CHEM 275,3,"Quantum mechanics with examples related to spectroscopy. Includes time dependent perturbation theory, matrix formalism, density matrix formalism and angular momentum.  Required: CHEM 271 or equivalent quantum mechanics course."
112320,Advanced Physical Chemistry,CHEM 273,3,"Molecular theory of kinetics and statistical mechanics: transport and reactions in gases and liquids, ensembles and the Boltzmann distribution law, partition functions, molecular simulation, structure and dynamics of liquids. Diffusion and activation limited reactions, potential energy surfaces, collision theory and transition-state theory. Prerequisites: either CHEM 173 or CHEM 171 for students who took CHEM 171 in Spring 2021 or later, or equivalent course."
112332,Teaching of Chemistry,CHEM 299,3,Required of all teaching assistants in Chemistry. Techniques of teaching chemistry by means of lectures and labs.
113250,Economic Analysis I,ECON 50,5,"Individual consumer and firm behavior under perfect competition. The role of markets and prices in a decentralized economy. Monopoly in partial equilibrium. Economic tools developed from multivariable calculus using partial differentiation and techniques for constrained and unconstrained optimization. Prerequisites: Econ 1 or 1V, and Math 20 or equivalent."
113252,Economic Analysis II,ECON 51,5,"Neoclassical analysis of general equilibrium, welfare economics, imperfect competition, externalities and public goods, risk and uncertainty, game theory, adverse selection, and moral hazard. Multivariate calculus is used. Prerequisite: ECON 50."
113257,Economic Analysis III,ECON 52,5,"Long-run economic growth and short-run economic fluctuations. Focus on the macroeconomic tools of government: fiscal policy (spending and taxes) and monetary policy, and their effects on growth, employment, and inflation. Prerequisites: ECON 50."
113278,Economic Policy Seminar,ECON 101,5,"Capstone and writing in the major course open to Econ majors only. Economic policy analysis, writing and oral presentations will be large components of this course. Students may also complete group projects that include empirical economic analysis focused on a specific topic. The goal of this course is to enable students to utilize the skills they have acquired throughout their time in the major. Section topics vary by instructor. Enrollment limited to application at the start of each school year with student placement notifications before the term starts. Permission numbers will be provided to students. Limited to students applying to graduate in 2024-25. Prerequisites: Econ 51 and 52, 102B, and two field courses. Enrollment by application: https://economics.stanford.edu/forms."
113280,Introduction to Statistical Methods (Postcalculus) for Social Scientists,ECON 102A,5,"Probabilistic modeling and statistical techniques relevant for economics. Concepts include: probability trees, conditional probability, random variables, discrete and continuous distributions, correlation, central limit theorems, point estimation, hypothesis testing and confidence intervals for both one and two populations. Prerequisite: MATH 20 or equivalent."
113281,Applied Econometrics,ECON 102B,5,"Hypothesis tests and confidence intervals for population variances, chi-squared goodness-of-fit tests, hypothesis tests for independence, simple linear regression model, testing regression parameters, prediction, multiple regression, omitted variable bias, multicollinearity, F-tests, regression with indicator random variables, simultaneous equation models and instrumental variables. Topics vary slightly depending on the quarter. Prerequisites: Econ 102A or equivalent. Recommended: computer experience (course often uses STATA software to run regressions)."
113292,Money and Banking,ECON 111,5,"The primary course goal is for students to master the logic, intuition and operation of a financial system - money, financial markets (money and capital markets, debt and equity markets, derivatives markets), and financial institutions and intermediaries (the Central Bank, depository institutions, credit unions, pension funds, insurance companies, venture capital firms, investment banks, mutual funds, etc.). In other words, how money/capital change hands between agents over time, directly and through institutions. Material will be both quantitative and qualitative, yet always highly analytical with a focus on active learning - there will be an approximately equal emphasis on solving mathematical finance problems (e.g. bond or option pricing) and on policy analysis (e.g. monetary policy and financial regulation.) Students will not be rewarded for memorizing and regurgitating facts, but rather for demonstrating the ability to reason with difficult problems and situations with which they might not previously be familiar. Prerequisite: Econ 50, 52. Strongly recommended but not required: some familiarity with finance and statistics. Summer session students wishing to enroll who feel they have the appropriate prerequisites from another institution may submit that information, transcript or syllabus that is similar to Econ 52, to econ-undergrad@stanford.edu."
113329,Decision Modeling and Information,ECON 137,5,"Effective decision models consider a decision maker&#039;s alternatives, information and preferences.  The construction of such models in single-party situations with emphasis on the role of information.  The course then evolves to two-party decision situations where one party has more information than the other.  Models examined include: bidding exercises and the winner&#039;s curse, the Akerlof Model and adverse selection, the Principal-Agent model and risk sharing, moral hazard and contract design. Prerequisite: ECON 102A or equivalent.  Recommended: Econ 50, Optimization and simulation in Excel."
113356,Climate change and global inequality,ECON 155,5,"This course tackles the challenges of mitigating and adapting to climate change. We will study the consequences of climate change and the government policy aimed at limiting carbon emissions. We will place particular emphasis on global impacts, including in lower-income countries that face disproportionate damages from climate change, as well as unique difficulties in implementing environmental regulation. Prerequisite for Undergraduates: ECON 50. May be taken concurrently with consent of the instructor."
113357,Economics of Health and Medical Care,ECON 126,5,"Institutional, theoretical, and empirical analysis of the problems of health and medical care. Topics: demand for medical care and medical insurance; institutions in the health sector; economics of information applied to the market for health insurance and for health care; economics of health care labor markets and health care production; and economic epidemiology. Graduate students with research interests should take ECON 249. Prerequisites: ECON 50 and either ECON 102A or STATS 116 or the equivalent. Recommended: ECON 51."
113358,Imperfect Competition,ECON 157,5,"The interaction between firms and consumers in markets that fall outside the benchmark competitive model. How firms acquire and exploit market power. Game theory and information economics to analyze how firms interact strategically. Topics include monopoly, price discrimination, advertising, oligopoly pricing, product differentiation, collusion and cartel behavior, and anti-competitive behavior. Sources include theoretical models, real-world examples, and empirical papers. Prerequisite: ECON 51 or PUBLPOL 301A or INTLPOL 204A, and ECON 102A. ECON 102B is recommended."
113362,Game Theory and Economic Applications,ECON 160,5,"Introduction to game theory and its applications to economics. Topics: strategic and extensive form games, dominant strategies, Nash equilibrium, subgame-perfect equilibrium, and Bayesian equilibrium. The theory is applied to repeated games, oligopoly, auctions, and bargaining with examples from economics and political science. Prerequisites: Working knowledge of calculus and basic probability theory."
113366,International Finance,ECON 165,5,We will explore models for analyzing a wide variety of issues in open-economy macroeconomics such as the balance of payments; the determination and behavior of exchange rates; the implementation of monetary and fiscal policy under flexible and fixed exchange rate regimes; the macroeconomic gains and/or pains from financial globalization; optimum currency areas; exchange rate crises and debt crises.  We will apply our theoretical framework to an examination of important historical episodes and contemporary policy debates; the textbook will be supplemented with readings from academic articles and mainstream news sources.  Active class participation is an important part of the course.  Prerequisite: ECON 52.
113373,Intermediate Econometrics I,ECON 270,5,"Probability, random variables, and distributions; large sample theory; theory of estimation and hypothesis testing; linear econometric models. Enrollment is limited to Econ PhD students for the first two weeks of open enrollment, after which the remaining space will be available to all other interested students. Prerequisites: probability and statistics at the level of Bruce Hansen&#039;s textbook &quot;Probability and Statistics for Economists."
113374,Intermediate Econometrics II,ECON 271,5,"Second course in the PhD sequence in econometrics at the Economics Department (as Econ 271) and at the GSB (as MGTECON 604). This course presents modern econometric methods with a focus on regression. Among the topics covered are: linear regression and its interpretation, robust inference, asymptotic theory for maximum-likelihood und other extremum estimators, generalized method of moments, Bayesian regression, high-dimensional and non-parametric regression, binary and multinomial discrete choice, resampling methods, linear time-series models, and state-space models. As a prerequisite, this course assumes working knowledge of probability theory and statistics as covered in Econ 270/MGTECON 603. Enrollment is limited to Econ PhD students for the first two weeks of open enrollment, after which the remaining space will be available to all other interested students. Prerequisites: Econ 270/MGTECON 603 or equivalent."
113375,Intermediate Econometrics III: Methods for Applied Econometrics,ECON 272,5,"Methods for modern causal inference, including identification, matching methods, instrumental variables, regression discontinuity designs, difference in differences, synthetic control methods. Prerequisites: Econ 271 or permission of instructor."
113400,Microeconomics I,ECON 202,5,"(Non-Economics graduate students register for 202N.) Open to advanced undergraduates with consent of instructors. Theory of the consumer and the implications of constrained maximization; uses of indirect utility and expenditure functions; theory of the producer, profit maximization, and cost minimization; monotone comparative statics; behavior under uncertainty; partial equilibrium analysis and introduction to models of general equilibrium. Enrollment is limited to Econ PhD students for the first two weeks of open enrollment, after which the remaining space will be available to all other interested students. Prerequisite: thorough understanding of the elements of multivariate calculus and linear algebra."
113402,Microeconomics II,ECON 203,5,"Non-cooperative game theory including normal and extensive forms, repeated games, incomplete information, and mechanism design. Emphasis is placed on solutions that model rational competition, learning, or efficient bargaining. Economic applications include static Bertrand and Cournot competition, auctions, dynamic oligopoly, entry decisions, entry deterrence, and bargaining theory. Enrollment is limited to Econ PhD students for the first two weeks of open enrollment, after which the remaining space will be available to all other interested students. Prerequisite: ECON 202."
113404,Microeconomics III,ECON 204,5,"Social Choice, including Arrow&#039;s theorem, the Gibbard-Satterthwaite theorem, and the Vickrey-Clarke-Groves mechanism. The theory of contracts, emphasizing contractual incompleteness and the problem of moral hazard. Incentive regulation. Competition with imperfect information, including signaling and adverse selection. Competitive equilibrium and the core. Limited enrollment.  Non-Econ students need permission of instructor to enroll. Enrollment is limited to Econ PhD students for the first two weeks of open enrollment, after which the remaining space will be available to all other interested students. Prerequisite: ECON 202 and 203."
113409,Macroeconomics I,ECON 210,5,"Dynamic programming applied to a variety of economic problems. These problems will be formulated in discrete or continuous time, with or without uncertainty, with a finite or infinite horizon. There will be weekly problem sets and a take-home final that will require MATLAB programming. Enrollment is limited to Econ PhD students for the first two weeks of open enrollment, after which the remaining space will be available to all other interested students."
113410,Macroeconomics II,ECON 211,5,"Growth models (neoclassical, human capital, technical change) using optimal control theory.  Real business cycle and new Keynesian models (business cycle fluctuations, inflation dynamics, the effects of monetary and fiscal policy, and optimal policy), using methods for solving dynamic, stochastic, rational expectations models. Enrollment is limited to Econ PhD students for the first two weeks of open enrollment, after which the remaining space will be available to all other interested students. Prerequisite: ECON 210."
113411,Macroeconomics III,ECON 212,5,"Real business cycle and new Keynesian models: business cycle fluctuations, inflation dynamics, the effects of monetary and fiscal policy, and optimal policy. Models of heterogeneity: search models of the labor market; precautionary savings and general equilibrium with incomplete markets; constrained efficiency; endogenous market incompleteness and recursive contracts; optimal taxation and redistribution. Enrollment is limited to Econ PhD students for the first two weeks of open enrollment, after which the remaining space will be available to all other interested students. Prerequisites: ECON 203, ECON 210, ECON 211."
113413,Development Economics II,ECON 215,5,"This course uses economic theory and empirical analyses to understand barriers to human and economic development in lower income countries, as well as how public policies are formulated and their effectiveness at alleviating poverty. Topics include  barriers to agricultural productivity; urban and rural labor markets; migration; technological change; models of growth and development and public finance in less developed countries. Prerequisites: 202 or 202N, 270."
113415,Development Economics III,ECON 216,5,"This course focuses on savings, credit, informal insurance, the expansion of microfinance, social networks, social learning and technology adoption, public finance and firm organizations. Prerequisite: 202, 203, 204, 210, 211, 212, 270, 271, 272."
113429,Topics in US and international economic history,ECON 226,5,"This graduate course emphasizes theoretical and empirical methods for studying long-run economic change, centering around key challenges facing American society today: technological change, barriers to economic opportunity, environmental change, and political polarization. Drawing on historical evidence and economic analysis, we will investigate how societies have addressed these challenges and what lessons the past provides for the future. While the evidence will span various periods of American history, the course will not cover those periods chronologically but rather focus on critical analysis of specific questions and mechanisms of change. Enrollment limited to graduate students."
113434,Advanced Macroeconomics I,ECON 233,5,Topics in the theory and empirics of economic growth. For PhD-level students.
113435,Advanced Macroeconomics II,ECON 234,5,"This is an advanced class in monetary economics. We cover empirical evidence, neoclassical models, New Keynesian models, monetary policy with heterogeneous agents, and investment and price setting with heterogeneous firms. We also emphasize solution methods for models in continuous and discrete time. Students enrolled in MGTECON 612 take the class for 4 units. Prerequisite: Satisfaction of the economics department&#039;s core macro requirement or consent of the instructors."
113440,Public Economics I,ECON 241,5,"Design of tax systems, transfers intended to alleviate poverty, the effect of taxes on earnings, fees intended to internalize externalities like pollution, school finance and other forms of fiscal federalism, local public goods such as schools, policy evaluation with behavioral decision makers.  Students will learn to apply sophisticated applications of frontier applied econometric techniques including synthetic controls, regression discontinuity, advanced instrumental variables methods. Prerequisites: ECON 202-204, ECON 210, ECON 270, ECON 271, or equivalent with consent of instructor."
113441,Public Economics II,ECON 242,5,"The first part of the course concerns inequality and the design of social insurance. We also explore questions in the intersection of public and family economics such as the unit of taxation, and the interaction between social insurance and intra-family insurance. The second half of the course covers local public policy and urban economics, and includes topics such as spatial equilibrium, placed-based policies and housing policy. Prerequisites: Econ 202, 203, 204, 210 or equivalent with consent of instructor. Recommended: Econ 241.270, 271, or equivalent with consent of instructor."
113444,Labor Economics I,ECON 246,5,"Topics in the determination of earnings and job mobility. Classes of models include: search, human capital, Roy, sorting, learning, imperfect competition, discrimination and compensating differentials. Basic models as well as contemporary empirical work will be discussed. Prerequisites: assumes first-year sequences in macroeconomics, microeconomics, and econometrics."
113445,Labor Economics II,ECON 247,5,"Recent topics in applied micro, focusing on papers from top journals (QJE, AER, JPE, Econometrica and REStud) over the last ten years. Broad overview of current topic and techniques in applied-micro research - one student nicknamed this &#039;the greatest hits of applied micro&#039;. Topics include inequality, polarization and skill-biased technical change, discrimination, technology adoption and the spread of information, management practices, field experiments, peer effects and academic spillovers. Combination of student and faculty presentations. Additional sessions on general presentations, paper writing and research skills to prepare for job market. Students write a term-paper."
113446,Labor Economics III,ECON 248,5,"This class covers Empirical Strategies in Labor Economics. Topics include: Causal effects vs. economic mechanisms; RCTs, social experiments and Audit studies; Selection on observables: Matching and Propensity Score estimators, Selection on unobservables:  IV estimators, Control function estimators; Selection on unobservables without exclusion restrictions/instruments: Regression Discontinuity and Bunching estimators; Bounding forms of selection, Decomposition methods, Network/peer effect models; Panel data and beyond: Natural experiments, Diff-in-diff, Error component models, Vignettes and Elicited data; Structural estimation vs Reduced form models: SMM, Indirect Inference, (X)MD, Sufficient statistics ideas."
